team,reason,attempted_sources
ARI,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
ATL,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
BAL,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
BUF,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
CAR,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
CHI,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
CIN,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
CLE,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
DAL,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
DEN,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
DET,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
GB,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
HOU,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
IND,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
JAX,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
KC,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
LV,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
LAC,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
LAR,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
MIA,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
MIN,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
NE,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
NO,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
NYG,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
NYJ,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
PHI,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
PIT,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
SEA,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
SF,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
TB,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
TEN,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
WAS,source_unverifiable,https://www.vegasinsider.com/nfl/odds/win-totals/|https://www.covers.com/sport/football/nfl/odds/futures
